Accession,Year,Subtype,Host,cluster_name,antigenic_distance,drift_binary_label
ABD59853,2003,H3N2,Human,FU02,10,1
ABD59854,2003,H3N2,Human,FU02,10,1
ABD59851,2002,H3N2,Human,SY97,9,1
ABD59852,2002,H3N2,Human,SY97,9,1
ABD59855,2004,H3N2,Human,FU02,10,1
ABD59850,2002,H3N2,Human,SY97,9,1
ABD59857,2004,H3N2,Human,FU02,10,1
ABD59856,2004,H3N2,Human,FU02,10,1
CAC37007,1997,H3N2,Human,WU95,8,0
ABB51964,2004,H3N2,Human,FU02,10,1
BAR64315,2014,H3N2,Avian,VI11,12,1
CAA24269,1968,H3N2,Human,HK68,0,0
BAF48361,1968,H3N2,Human,HK68,0,0
BAM99169,2013,H3N2,Human,VI11,12,1
CAC40044,1999,H3N2,Human,SY97,9,1
CDJ79889,2005,H3N2,Human,FU02,10,1
CAA24273,1972,H3N2,Human,HK68,0,0
CAA24270,1975,H3N2,Human,EN72,1,0
BAN60464,1978,H3N2,Avian,TX77,3,0
BAF34924,1977,H3N2,Avian,VI75,2,0
BAL70286,2011,H3N2,Avian,PE09,11,1
BAR72445,2014,H3N2,Avian,VI11,12,1
BAR72412,2013,H3N2,Avian,VI11,12,1
BAM42775,2011,H3N2,Avian,PE09,11,1
BAO56923,2013,H3N2,Avian,VI11,12,1
BAQ35771,2011,H3N2,Avian,PE09,11,1
BAQ35881,2013,H3N2,Avian,VI11,12,1
BAI68198,2009,H3N2,Avian,PE09,11,1
BAQ35804,2012,H3N2,Avian,VI11,12,1
BAM78723,2012,H3N2,Avian,VI11,12,1
BAR72423,2014,H3N2,Avian,VI11,12,1
BAJ05791,2009,H3N2,Avian,PE09,11,1
CAC81013,1988,H3N2,Human,SI87,5,0
CAC81017,1988,H3N2,Human,SI87,5,0
ARC53078,2016,H3N2,Human,SW13,13,1
BAN81712,1968,H3N2,Human,HK68,0,0
AAA43187,1971,H3N2,Human,HK68,0,0
AAP23238,1998,H3N2,Human,SY97,9,1
AAA43275,1986,H3N2,Human,BK79,4,0
AAC79579,1982,H3N2,Human,BK79,4,0
AIU46064,2003,H3N2,Human,FU02,10,1
ADK22398,2010,H3N2,Human,PE09,11,1
ADK22399,2010,H3N2,Human,PE09,11,1
ALM06006,2013,H3N2,Human,VI11,12,1
ABR18477,1968,H3N2,Human,HK68,0,0
BAF37221,1968,H3N2,Human,HK68,0,0
AAA43239,1968,H3N2,Human,HK68,0,0
AFH00065,1993,H3N2,Human,BE92,7,0
AGK74269,2011,H3N2,Human,PE09,11,1
ALH33348,2015,H3N2,Human,SW13,13,1
AQS21142,2017,H3N2,Human,SW13,13,1
QBS20533,2019,H3N2,Human,HK14,14,1
AGL07340,2012,H3N2,Human,VI11,12,1
ALH25669,2015,H3N2,Human,SW13,13,1
AQS21130,2017,H3N2,Human,SW13,13,1
AGK74346,2011,H3N2,Human,PE09,11,1
ANM96285,2016,H3N2,Human,SW13,13,1
AGL06595,2011,H3N2,Human,PE09,11,1
AQS21166,2017,H3N2,Human,SW13,13,1
QBS20586,2019,H3N2,Human,HK14,14,1
APB89527,2015,H3N2,Human,SW13,13,1
QBY32543,2019,H3N2,Human,HK14,14,1
AQW36897,2017,H3N2,Human,SW13,13,1
AGK73865,2010,H3N2,Human,PE09,11,1
AGL07299,2012,H3N2,Human,VI11,12,1
AGZ60405,2013,H3N2,Human,VI11,12,1
ALH34492,2015,H3N2,Human,SW13,13,1
QBP38197,2019,H3N2,Human,HK14,14,1
AGK74027,2010,H3N2,Human,PE09,11,1
ALH30584,2014,H3N2,Human,VI11,12,1
ANN00839,2016,H3N2,Human,SW13,13,1
ALH31501,2014,H3N2,Human,VI11,12,1
ARQ87035,2017,H3N2,Human,SW13,13,1
AJK03598,2010,H3N2,Human,PE09,11,1
APO18502,2016,H3N2,Human,SW13,13,1
AXY84185,2018,H3N2,Human,HK14,14,1
APY25627,2016,H3N2,Human,SW13,13,1
AXY84197,2018,H3N2,Human,HK14,14,1
ARQ86999,2017,H3N2,Human,SW13,13,1
APT38627,2016,H3N2,Human,SW13,13,1
AGZ60529,2012,H3N2,Human,VI11,12,1
ARQ86975,2017,H3N2,Human,SW13,13,1
AGZ61327,2012,H3N2,Human,VI11,12,1
AXA18508,2018,H3N2,Human,HK14,14,1
QDX11331,2019,H3N2,Human,HK14,14,1
ASB16679,2017,H3N2,Human,SW13,13,1
ASB16691,2017,H3N2,Human,SW13,13,1
AXA18520,2018,H3N2,Human,HK14,14,1
QCW13133,2019,H3N2,Human,HK14,14,1
QDX11350,2019,H3N2,Human,HK14,14,1
QFZ88334,2019,H3N2,Human,HK14,14,1
ATZ78761,2017,H3N2,Human,SW13,13,1
QGW43929,2019,H3N2,Human,HK14,14,1
AXB52503,2018,H3N2,Human,HK14,14,1
AUM85254,2017,H3N2,Human,SW13,13,1
AGF44915,2012,H3N2,Human,VI11,12,1
AGF44916,2012,H3N2,Human,VI11,12,1
AGF44949,2012,H3N2,Human,VI11,12,1
AGF44951,2012,H3N2,Human,VI11,12,1
AGF44956,2012,H3N2,Human,VI11,12,1
AGL09731,2012,H3N2,Human,VI11,12,1
AGL09733,2013,H3N2,Human,VI11,12,1
AIC73741,2014,H3N2,Human,VI11,12,1
ALA08472,2014,H3N2,Human,VI11,12,1
ALA08473,2014,H3N2,Human,VI11,12,1
ALA08491,2014,H3N2,Human,VI11,12,1
ALE31613,2014,H3N2,Human,VI11,12,1
ALE31614,2014,H3N2,Human,VI11,12,1
ALE31615,2015,H3N2,Human,SW13,13,1
ALE31774,2015,H3N2,Human,SW13,13,1
QBS20651,2018,H3N2,Human,HK14,14,1
ALE31996,2015,H3N2,Human,SW13,13,1
ALN39661,2015,H3N2,Human,SW13,13,1
ATD11091,2017,H3N2,Human,SW13,13,1
ATD11252,2017,H3N2,Human,SW13,13,1
ATD11253,2017,H3N2,Human,SW13,13,1
ATD11254,2017,H3N2,Human,SW13,13,1
AXX75325,2018,H3N2,Human,HK14,14,1
AXX75328,2018,H3N2,Human,HK14,14,1
ABV30657,2007,H3N2,Human,FU02,10,1
ABV30415,2007,H3N2,Human,FU02,10,1
AEK28839,2009,H3N2,Human,PE09,11,1
AGK73957,2011,H3N2,Human,PE09,11,1
AQS19841,2017,H3N2,Human,SW13,13,1
QBS20658,2019,H3N2,Human,HK14,14,1
AGL07024,2012,H3N2,Human,VI11,12,1
AGZ61268,2013,H3N2,Human,VI11,12,1
AQS19853,2017,H3N2,Human,SW13,13,1
AGF68882,2010,H3N2,Human,PE09,11,1
AGL06725,2012,H3N2,Human,VI11,12,1
ACJ73748,2008,H3N2,Human,FU02,10,1
AGZ61102,2012,H3N2,Human,VI11,12,1
AGZ61508,2013,H3N2,Human,VI11,12,1
AOZ85205,2016,H3N2,Human,SW13,13,1
AQW35967,2017,H3N2,Human,SW13,13,1
QBP38221,2019,H3N2,Human,HK14,14,1
ACA33696,2007,H3N2,Human,FU02,10,1
AGK74009,2010,H3N2,Human,PE09,11,1
AGK73561,2010,H3N2,Human,PE09,11,1
AGZ61491,2013,H3N2,Human,VI11,12,1
AIE09721,2014,H3N2,Human,VI11,12,1
AQZ37663,2017,H3N2,Human,SW13,13,1
AGZ60403,2013,H3N2,Human,VI11,12,1
AIE09701,2014,H3N2,Human,VI11,12,1
ANM99650,2016,H3N2,Human,SW13,13,1
AQZ37675,2017,H3N2,Human,SW13,13,1
ARB17635,2017,H3N2,Human,SW13,13,1
AXA18544,2018,H3N2,Human,HK14,14,1
ALH36714,2015,H3N2,Human,SW13,13,1
ARB17647,2017,H3N2,Human,SW13,13,1
