,ACF22375,APC57889,ACI25801,ACI25790,AIU46019,ABB80034,ACI25768,ABR15797,ABN51099,AFG71898,AHN04347,AAZ80007,AFM68965,ABB04338,AFG71942,AFG98940,AIU46022,AHN04239,ABO52313,BAN60464,AFG99226,CAC81013,ABB04305,ABB04917,AFG99237,AFM72098,QCO77023,AFG72129,AFG72096,ACI26549,ABD77862,AFG72515,ABG37340,AFH00263,ABD16571,ABB80148,ABA42928,ACF36337,AFH00252,AFH00351,AEG65736,AEK98374,AMQ29996,ACF36206,AEX35450,ABW23346,AEM75702,AFJ75593,AFG72812,ABD15724,QBS21557,AGL06908,QID02525,AJK00511,AQI25229,AQN75723,AFD64828,AUH29087,QED12996,AXB53797,QJT42640,QJT42663,QJD46746,QJA11559,QJA10718,QIV19914,QJA10955,QIQ46129,QJA11266,QIQ47245
ACF22375,0.0,0.01060070671378092,0.007067137809187279,0.00530035335689046,0.007067137809187279,0.007067137809187279,0.00530035335689046,0.0035335689045936395,0.00530035335689046,0.01060070671378092,0.045936395759717315,0.012367491166077738,0.061837455830388695,0.024734982332155476,0.024734982332155476,0.037102473498233215,0.061837455830388695,0.044169611307420496,0.04240282685512368,0.022968197879858657,0.08303886925795052,0.09010600706713781,0.0812720848056537,0.08303886925795052,0.09010600706713781,0.08657243816254417,0.024734982332155476,0.09540636042402827,0.09540636042402827,0.09010600706713781,0.10424028268551237,0.10777385159010601,0.11484098939929328,0.10600706713780919,0.09187279151943463,0.10777385159010601,0.12190812720848057,0.11130742049469965,0.09363957597173145,0.10247349823321555,0.1254416961130742,0.13250883392226148,0.053003533568904596,0.13074204946996468,0.13074204946996468,0.13074204946996468,0.04946996466431095,0.12897526501766785,0.12014134275618374,0.12014134275618374,0.1519434628975265,0.13427561837455831,0.1501766784452297,0.13074204946996468,0.1519434628975265,0.1413427561837456,0.13250883392226148,0.14487632508833923,0.14487632508833923,0.14664310954063603,0.14664310954063603,0.14840989399293286,0.14487632508833923,0.14664310954063603,0.1519434628975265,0.14664310954063603,0.14840989399293286,0.14487632508833923,0.14840989399293286,0.14840989399293286
APC57889,0.01060070671378092,0.0,0.014134275618374558,0.0088339222614841,0.014134275618374558,0.014134275618374558,0.01060070671378092,0.01060070671378092,0.012367491166077738,0.0176678445229682,0.053003533568904596,0.019434628975265017,0.06890459363957598,0.03356890459363958,0.03180212014134275,0.045936395759717315,0.06890459363957598,0.05123674911660778,0.05123674911660778,0.028268551236749116,0.09010600706713781,0.09717314487632508,0.08833922261484099,0.09010600706713781,0.09717314487632508,0.09363957597173145,0.03180212014134275,0.10247349823321555,0.10247349823321555,0.09717314487632508,0.11130742049469965,0.11484098939929328,0.12190812720848057,0.11307420494699646,0.0989399293286219,0.11484098939929328,0.12897526501766785,0.11837455830388692,0.10070671378091872,0.10954063604240283,0.13250883392226148,0.13780918727915195,0.06007067137809187,0.13604240282685512,0.13604240282685512,0.13604240282685512,0.05653710247349823,0.13427561837455831,0.127208480565371,0.127208480565371,0.15901060070671377,0.13957597173144876,0.15724381625441697,0.13604240282685512,0.15901060070671377,0.14840989399293286,0.13780918727915195,0.1519434628975265,0.1519434628975265,0.15371024734982333,0.15371024734982333,0.15547703180212014,0.1519434628975265,0.15371024734982333,0.15901060070671377,0.15371024734982333,0.15547703180212014,0.1519434628975265,0.15547703180212014,0.15547703180212014
ACI25801,0.007067137809187279,0.014134275618374558,0.0,0.0088339222614841,0.007067137809187279,0.01060070671378092,0.0088339222614841,0.007067137809187279,0.0088339222614841,0.014134275618374558,0.05123674911660778,0.015901060070671377,0.0636042402826855,0.030035335689045935,0.028268551236749116,0.038869257950530034,0.0636042402826855,0.04946996466431095,0.044169611307420496,0.024734982332155476,0.08480565371024736,0.09010600706713781,0.08303886925795052,0.08480565371024736,0.08833922261484099,0.08480565371024736,0.028268551236749116,0.09363957597173145,0.09363957597173145,0.08833922261484099,0.10600706713780919,0.10777385159010601,0.11484098939929328,0.10424028268551237,0.09010600706713781,0.10777385159010601,0.12190812720848057,0.11130742049469965,0.09187279151943463,0.10424028268551237,0.1254416961130742,0.13250883392226148,0.05830388692579505,0.13074204946996468,0.13074204946996468,0.13074204946996468,0.054770318021201414,0.12897526501766785,0.12014134275618374,0.12014134275618374,0.1519434628975265,0.13427561837455831,0.1501766784452297,0.13074204946996468,0.1519434628975265,0.1413427561837456,0.13250883392226148,0.14487632508833923,0.14487632508833923,0.14664310954063603,0.14664310954063603,0.14840989399293286,0.14487632508833923,0.14664310954063603,0.1519434628975265,0.14664310954063603,0.14840989399293286,0.14487632508833923,0.14840989399293286,0.14840989399293286
ACI25790,0.00530035335689046,0.0088339222614841,0.0088339222614841,0.0,0.0088339222614841,0.0088339222614841,0.0035335689045936395,0.00530035335689046,0.007067137809187279,0.012367491166077738,0.04946996466431095,0.014134275618374558,0.06537102473498234,0.028268551236749116,0.026501766784452298,0.04063604240282685,0.06537102473498234,0.04770318021201413,0.045936395759717315,0.024734982332155476,0.08657243816254417,0.09363957597173145,0.08480565371024736,0.08657243816254417,0.09363957597173145,0.09010600706713781,0.026501766784452298,0.0989399293286219,0.0989399293286219,0.09363957597173145,0.10777385159010601,0.11130742049469965,0.11837455830388692,0.10954063604240283,0.09540636042402827,0.11130742049469965,0.1254416961130742,0.11484098939929328,0.09717314487632508,0.10600706713780919,0.12897526501766785,0.13604240282685512,0.05653710247349823,0.13427561837455831,0.13427561837455831,0.13427561837455831,0.053003533568904596,0.13250883392226148,0.12367491166077739,0.12367491166077739,0.15547703180212014,0.13780918727915195,0.15371024734982333,0.13427561837455831,0.15547703180212014,0.14487632508833923,0.13604240282685512,0.14840989399293286,0.14840989399293286,0.1501766784452297,0.1501766784452297,0.1519434628975265,0.14840989399293286,0.1501766784452297,0.15547703180212014,0.1501766784452297,0.1519434628975265,0.14840989399293286,0.1519434628975265,0.1519434628975265
AIU46019,0.007067137809187279,0.014134275618374558,0.007067137809187279,0.0088339222614841,0.0,0.01060070671378092,0.0088339222614841,0.007067137809187279,0.0088339222614841,0.014134275618374558,0.04770318021201413,0.015901060070671377,0.0636042402826855,0.030035335689045935,0.028268551236749116,0.038869257950530034,0.0636042402826855,0.045936395759717315,0.044169611307420496,0.02120141342756184,0.08480565371024736,0.09187279151943463,0.08303886925795052,0.08480565371024736,0.09187279151943463,0.08833922261484099,0.024734982332155476,0.09717314487632508,0.09717314487632508,0.09187279151943463,0.10600706713780919,0.10954063604240283,0.1166077738515901,0.10777385159010601,0.09363957597173145,0.10954063604240283,0.12367491166077739,0.11307420494699646,0.09540636042402827,0.10424028268551237,0.127208480565371,0.13427561837455831,0.054770318021201414,0.13250883392226148,0.13250883392226148,0.13250883392226148,0.05123674911660778,0.13074204946996468,0.12190812720848057,0.12190812720848057,0.15371024734982333,0.13604240282685512,0.1519434628975265,0.13250883392226148,0.15371024734982333,0.1431095406360424,0.13427561837455831,0.14664310954063603,0.14664310954063603,0.14840989399293286,0.14840989399293286,0.1501766784452297,0.14664310954063603,0.14840989399293286,0.15371024734982333,0.14840989399293286,0.1501766784452297,0.14664310954063603,0.1501766784452297,0.1501766784452297
ABB80034,0.007067137809187279,0.014134275618374558,0.01060070671378092,0.0088339222614841,0.01060070671378092,0.0,0.0088339222614841,0.007067137809187279,0.0088339222614841,0.014134275618374558,0.04946996466431095,0.012367491166077738,0.061837455830388695,0.026501766784452298,0.026501766784452298,0.038869257950530034,0.061837455830388695,0.04770318021201413,0.044169611307420496,0.022968197879858657,0.08303886925795052,0.09010600706713781,0.0812720848056537,0.08303886925795052,0.09010600706713781,0.08657243816254417,0.026501766784452298,0.09540636042402827,0.09540636042402827,0.09010600706713781,0.10424028268551237,0.10777385159010601,0.11484098939929328,0.10600706713780919,0.09187279151943463,0.10777385159010601,0.12190812720848057,0.11130742049469965,0.09363957597173145,0.10247349823321555,0.1254416961130742,0.13250883392226148,0.05653710247349823,0.13074204946996468,0.13074204946996468,0.13074204946996468,0.053003533568904596,0.12897526501766785,0.12014134275618374,0.11837455830388692,0.1519434628975265,0.13427561837455831,0.1501766784452297,0.13074204946996468,0.1519434628975265,0.1413427561837456,0.13250883392226148,0.14487632508833923,0.14487632508833923,0.14664310954063603,0.14664310954063603,0.14840989399293286,0.14487632508833923,0.14664310954063603,0.1519434628975265,0.14664310954063603,0.14840989399293286,0.14487632508833923,0.14840989399293286,0.14840989399293286
ACI25768,0.00530035335689046,0.01060070671378092,0.0088339222614841,0.0035335689045936395,0.0088339222614841,0.0088339222614841,0.0,0.00530035335689046,0.007067137809187279,0.012367491166077738,0.04946996466431095,0.014134275618374558,0.06537102473498234,0.028268551236749116,0.026501766784452298,0.04063604240282685,0.06537102473498234,0.04770318021201413,0.045936395759717315,0.024734982332155476,0.08657243816254417,0.09363957597173145,0.08480565371024736,0.08657243816254417,0.09363957597173145,0.09010600706713781,0.026501766784452298,0.0989399293286219,0.0989399293286219,0.09363957597173145,0.10777385159010601,0.11130742049469965,0.11837455830388692,0.10954063604240283,0.09540636042402827,0.11130742049469965,0.1254416961130742,0.11484098939929328,0.09717314487632508,0.10600706713780919,0.12897526501766785,0.13604240282685512,0.05653710247349823,0.13427561837455831,0.13427561837455831,0.13427561837455831,0.053003533568904596,0.13250883392226148,0.12367491166077739,0.12367491166077739,0.15547703180212014,0.13780918727915195,0.15371024734982333,0.13427561837455831,0.15547703180212014,0.14487632508833923,0.13604240282685512,0.14840989399293286,0.14840989399293286,0.1501766784452297,0.1501766784452297,0.1519434628975265,0.14840989399293286,0.1501766784452297,0.15547703180212014,0.1501766784452297,0.1519434628975265,0.14840989399293286,0.1519434628975265,0.1519434628975265
ABR15797,0.0035335689045936395,0.01060070671378092,0.007067137809187279,0.00530035335689046,0.007067137809187279,0.007067137809187279,0.00530035335689046,0.0,0.0017667844522968198,0.01060070671378092,0.04770318021201413,0.0088339222614841,0.06007067137809187,0.022968197879858657,0.024734982332155476,0.0353356890459364,0.06007067137809187,0.045936395759717315,0.04063604240282685,0.022968197879858657,0.0812720848056537,0.08833922261484099,0.07950530035335689,0.0812720848056537,0.08833922261484099,0.08480565371024736,0.024734982332155476,0.09363957597173145,0.09363957597173145,0.08833922261484099,0.10247349823321555,0.10600706713780919,0.11307420494699646,0.10424028268551237,0.09010600706713781,0.10600706713780919,0.12014134275618374,0.10954063604240283,0.09187279151943463,0.10070671378091872,0.12367491166077739,0.13074204946996468,0.054770318021201414,0.12897526501766785,0.12897526501766785,0.12897526501766785,0.05123674911660778,0.127208480565371,0.11837455830388692,0.11837455830388692,0.1501766784452297,0.13250883392226148,0.14840989399293286,0.12897526501766785,0.1501766784452297,0.13957597173144876,0.13074204946996468,0.1431095406360424,0.1431095406360424,0.14487632508833923,0.14487632508833923,0.14664310954063603,0.1431095406360424,0.14487632508833923,0.1501766784452297,0.14487632508833923,0.14664310954063603,0.1431095406360424,0.14664310954063603,0.14664310954063603
ABN51099,0.00530035335689046,0.012367491166077738,0.0088339222614841,0.007067137809187279,0.0088339222614841,0.0088339222614841,0.007067137809187279,0.0017667844522968198,0.0,0.012367491166077738,0.04946996466431095,0.01060070671378092,0.061837455830388695,0.024734982332155476,0.026501766784452298,0.037102473498233215,0.061837455830388695,0.04770318021201413,0.04240282685512368,0.024734982332155476,0.08303886925795052,0.09010600706713781,0.0812720848056537,0.08303886925795052,0.09010600706713781,0.08657243816254417,0.026501766784452298,0.09540636042402827,0.09540636042402827,0.09010600706713781,0.10424028268551237,0.10777385159010601,0.11484098939929328,0.10600706713780919,0.09187279151943463,0.10777385159010601,0.12190812720848057,0.11130742049469965,0.09363957597173145,0.10247349823321555,0.1254416961130742,0.13250883392226148,0.05653710247349823,0.13074204946996468,0.13074204946996468,0.13074204946996468,0.053003533568904596,0.12897526501766785,0.12014134275618374,0.12014134275618374,0.1519434628975265,0.13427561837455831,0.1501766784452297,0.13074204946996468,0.1519434628975265,0.1413427561837456,0.13250883392226148,0.14487632508833923,0.14487632508833923,0.14664310954063603,0.14664310954063603,0.14840989399293286,0.14487632508833923,0.14664310954063603,0.1519434628975265,0.14664310954063603,0.14840989399293286,0.14487632508833923,0.14840989399293286,0.14840989399293286
AFG71898,0.01060070671378092,0.0176678445229682,0.014134275618374558,0.012367491166077738,0.014134275618374558,0.014134275618374558,0.012367491166077738,0.01060070671378092,0.012367491166077738,0.0,0.04946996466431095,0.019434628975265017,0.06890459363957598,0.03356890459363958,0.03180212014134275,0.045936395759717315,0.06890459363957598,0.04770318021201413,0.045936395759717315,0.026501766784452298,0.08657243816254417,0.09363957597173145,0.08480565371024736,0.08657243816254417,0.09363957597173145,0.09010600706713781,0.028268551236749116,0.0989399293286219,0.0989399293286219,0.09363957597173145,0.10424028268551237,0.11130742049469965,0.11484098939929328,0.10600706713780919,0.09717314487632508,0.10954063604240283,0.12367491166077739,0.11307420494699646,0.09717314487632508,0.10247349823321555,0.127208480565371,0.13427561837455831,0.05653710247349823,0.13250883392226148,0.13250883392226148,0.13250883392226148,0.053003533568904596,0.13074204946996468,0.12190812720848057,0.12190812720848057,0.15371024734982333,0.13604240282685512,0.1519434628975265,0.13250883392226148,0.15371024734982333,0.1431095406360424,0.13427561837455831,0.14664310954063603,0.14664310954063603,0.14840989399293286,0.14840989399293286,0.1501766784452297,0.14664310954063603,0.14840989399293286,0.15371024734982333,0.14840989399293286,0.1501766784452297,0.14664310954063603,0.1501766784452297,0.1501766784452297
